word,translation,example_sentence
der (de),the (m.),Der Mann ist groß.
die (de),the (f./pl.),Die Frau ist schön.
das (de),the (n.),Das Kind spielt.
und (de),and,Ich und du.
sein (de),to be,Ich bin müde.
in (de),in,Ich bin in Berlin.
ein (de),a/an (m./n.),Ein Auto ist teuer.
haben (de),to have,Ich habe Hunger.
werden (de),to become/will,Ich werde Arzt.
von (de),from/of,Ein Freund von mir.
nicht (de),not,Ich verstehe nicht.
mit (de),with,Ich komme mit dir.
zu (de),to/too,Ich gehe zu Fuß.
sich (de),oneself (reflexive),Ich freue mich.
auf (de),on/upon,Das Buch liegt auf dem Tisch.
für (de),for,Ein Geschenk für dich.
er (de),he,Er ist nett.
an (de),at/on,Ich denke an dich.
es (de),it,Es regnet heute.
auch (de),also/too,Ich auch!
können (de),can/to be able,Ich kann schwimmen.
sie (de),she/they,Sie kommt morgen.
als (de),as/than/when,Größer als ich.
ich (de),I,Ich bin Student.
aus (de),out of/from,Ich komme aus Deutschland.
bei (de),at/with/near,Ich wohne bei meinen Eltern.
nach (de),after/to,Nach der Schule.
dieser (de),this (m.),Dieser Mann ist alt.
um (de),around/at (time),Um drei Uhr.
oder (de),or,Tee oder Kaffee?
was (de),what,Was machst du?
man (de),one/you/people,Man sagt das nicht.
so (de),so/such,So gut!
durch (de),through,Durch den Wald.
nur (de),only,Nur für dich.
wenn (de),if/when,Wenn es regnet.
über (de),over/about,Über den Wolken.
bis (de),until/by,Bis morgen!
sollen (de),should/ought to,Du sollst lernen.
aber (de),but,Ich bin müde aber glücklich.
müssen (de),must/to have to,Ich muss gehen.
Jahr (de),year (n.),Ein Jahr hat zwölf Monate.
bis (de),until/to,Von eins bis zehn.
dürfen (de),may/to be allowed,Darf ich reinkommen?
wo (de),where,Wo bist du?
ob (de),whether/if,Ich weiß nicht ob er kommt.
wollen (de),to want,Ich will schlafen.
mehr (de),more,Noch mehr Kaffee?
noch (de),still/yet/another,Noch ein Bier bitte.
Zeit (de),time (f.),Ich habe keine Zeit.
gegen (de),against/towards,Gegen den Wind.
wie (de),how/like,Wie geht's?
all (de),all,Alle Menschen.
dann (de),then,Bis dann!
machen (de),to do/make,Was machst du?
jetzt (de),now,Ich gehe jetzt.
kommen (de),to come,Komm her!
unter (de),under/among,Unter dem Tisch.
geben (de),to give,Gib mir das Buch!
neu (de),new,Ein neues Auto.
wir (de),we,Wir sind Freunde.
ihr (de),you (pl. informal)/her,Wo seid ihr?
heute (de),today,Heute ist Montag.
gut (de),good/well,Das ist gut!
doch (de),but/however/though,Das ist doch richtig!
vor (de),before/in front of,Vor dem Haus.
gehen (de),to go,Ich gehe nach Hause.
sagen (de),to say/tell,Was sagst du?
Tag (de),day (m.),Guten Tag!
schon (de),already,Schon fertig?
groß (de),big/tall,Ein großer Mann.
sehen (de),to see,Ich sehe dich!
leben (de),to live,Ich lebe in Berlin.
stehen (de),to stand,Er steht dort.
wissen (de),to know (fact),Ich weiß es nicht.
ganz (de),whole/quite,Den ganzen Tag.
lassen (de),to let/leave,Lass mich in Ruhe!
Mann (de),man (m.),Der Mann arbeitet.
nehmen (de),to take,Nimm das Buch!
Frau (de),woman/wife (f.),Die Frau liest.
eigen (de),own,Mein eigenes Haus.
Mensch (de),human/person (m.),Alle Menschen.
Land (de),country/land (n.),Ein schönes Land.
finden (de),to find,Ich finde es nicht.
alt (de),old,Ein alter Freund.
weil (de),because,Ich bleibe weil es regnet.
da (de),there/since,Da drüben!
Welt (de),world (f.),Die ganze Welt.
bleiben (de),to stay/remain,Bleib hier!
liegen (de),to lie/be located,Das Buch liegt dort.
Arbeit (de),work (f.),Viel Arbeit heute.
sehr (de),very,Sehr gut!
beide (de),both,Beide Kinder.
seit (de),since/for (time),Seit einem Jahr.
Hand (de),hand (f.),Wasch deine Hände!
glauben (de),to believe,Ich glaube dir.
ohne (de),without,Ohne dich.
heißen (de),to be called,Ich heiße Peter.
gleich (de),same/right away,Ich komme gleich.
brauchen (de),to need,Ich brauche Hilfe.
während (de),during/while,Während des Krieges.
Haus (de),house (n.),Mein Haus ist groß.
klein (de),small,Ein kleiner Hund.
Frage (de),question (f.),Eine gute Frage.
nichts (de),nothing,Ich habe nichts.
jung (de),young,Ein junger Mann.
tun (de),to do,Was tun wir jetzt?
nein (de),no,Nein danke!
immer (de),always,Immer das Gleiche.
Weg (de),way/path (m.),Der richtige Weg.
Ende (de),end (n.),Am Ende des Tages.
Auge (de),eye (n.),Blaue Augen.
Teil (de),part (m./n.),Ein Teil davon.
sprechen (de),to speak,Sprichst du Deutsch?
zwei (de),two,Zwei Katzen.
halten (de),to hold/stop,Halt die Tür!
lange (de),long (time),Wie lange noch?
Kind (de),child (n.),Das Kind weint.
Mal (de),time/occasion (n.),Das nächste Mal.
ja (de),yes,Ja bitte!
nie (de),never,Nie wieder!
viel (de),much/many,Viel Glück!
stellen (de),to put/place,Stell es dort hin.
damit (de),with it/so that,Damit bin ich fertig.
Name (de),name (m.),Wie ist dein Name?
Ort (de),place/location (m.),Ein schöner Ort.
drei (de),three,Drei Äpfel.
gerade (de),just/straight,Ich bin gerade angekommen.
Herr (de),mister/lord (m.),Herr Müller.
kaum (de),hardly/barely,Kaum zu glauben.
zusammen (de),together,Wir bleiben zusammen.
setzen (de),to set/put,Setz dich!
kein (de),no/not a,Kein Problem.
einmal (de),once,Noch einmal bitte.
Stelle (de),place/position (f.),Eine freie Stelle.
Vater (de),father (m.),Mein Vater arbeitet.
vielleicht (de),perhaps/maybe,Vielleicht morgen.
sobald (de),as soon as,Sobald ich kann.
hoch (de),high,Der Berg ist hoch.
Form (de),form/shape (f.),In guter Form.
weg (de),away/gone,Er ist weg.
bekommen (de),to get/receive,Ich bekomme Post.
Kopf (de),head (m.),Mein Kopf tut weh.
später (de),later,Bis später!
wenig (de),little/few,Nur wenig Zeit.
Mutter (de),mother (f.),Meine Mutter kocht.
etwas (de),something,Ich will etwas essen.
Raum (de),room/space (m.),Ein großer Raum.
Sache (de),thing/matter (f.),Eine wichtige Sache.
Recht (de),right/law (n.),Du hast Recht.
mögen (de),to like,Ich mag dich.
legen (de),to lay/put,Leg das Buch hin.
zurück (de),back,Komm zurück!
eben (de),just/even,Eben erst angekommen.
spielen (de),to play,Die Kinder spielen.
Beispiel (de),example (n.),Zum Beispiel.
folgen (de),to follow,Folge mir!
führen (de),to lead/guide,Er führt die Gruppe.
zeigen (de),to show,Zeig es mir!
Grund (de),reason/ground (m.),Ohne Grund.
Wort (de),word (n.),Ein schönes Wort.
hören (de),to hear,Hörst du das?
nur (de),only/just,Nur einmal.
also (de),so/therefore,Also gut.
Wasser (de),water (n.),Ein Glas Wasser bitte.
bringen (de),to bring,Bring mir das Salz.
bestehen (de),to exist/pass (test),Ich bestehe die Prüfung.
lernen (de),to learn,Ich lerne Deutsch.
allein (de),alone,Ich bin allein.
einige (de),some/several,Einige Leute.
erreichen (de),to reach/achieve,Ich erreiche mein Ziel.
Mensch (de),person/human (m.),Ein guter Mensch.
Kraft (de),strength/force (f.),Viel Kraft!
Seite (de),side/page (f.),Auf der anderen Seite.
ziehen (de),to pull/move,Zieh an der Tür!
denn (de),because/for,Ich bleibe denn es regnet.
Bild (de),picture/image (n.),Ein schönes Bild.
einfach (de),simple/simply,Ganz einfach.
sitzen (de),to sit,Ich sitze hier.
Bedeutung (de),meaning (f.),Was ist die Bedeutung?
fallen (de),to fall,Pass auf du fällst!
Monat (de),month (m.),Nächsten Monat.
trotz (de),despite/in spite of,Trotz des Regens.
direkt (de),direct/directly,Direkt hier.
mal (de),times (multiplication),Zwei mal drei.
Buch (de),book (n.),Ich lese ein Buch.
zwar (de),indeed/to be sure,Das ist zwar richtig.
drehen (de),to turn/rotate,Dreh dich um!
möglich (de),possible,Alles ist möglich.
weiter (de),further/on,Immer weiter!
stark (de),strong,Ein starker Mann.
jedoch (de),however,Jedoch ist es wahr.
scheinen (de),to seem/shine,Die Sonne scheint.
schnell (de),fast/quick,Sehr schnell!
voll (de),full,Der Bus ist voll.
Stunde (de),hour (f.),Eine halbe Stunde.
weit (de),far/wide,Zu weit weg.
laufen (de),to run/walk,Ich laufe schnell.
Sinn (de),sense/meaning (m.),Das macht Sinn.
schaffen (de),to manage/create,Ich schaffe das!
treffen (de),to meet/hit,Wir treffen uns morgen.
gilt (de),is valid/applies,Das gilt nicht!
Entwicklung (de),development (f.),Eine gute Entwicklung.
eher (de),rather/sooner,Eher nicht.
Gruppe (de),group (f.),Eine kleine Gruppe.
suchen (de),to search/look for,Ich suche meine Brille.
Geschichte (de),story/history (f.),Eine interessante Geschichte.
hinter (de),behind,Hinter dem Haus.
reden (de),to talk,Wir müssen reden.
meist (de),most/mostly,Die meisten Menschen.
bieten (de),to offer,Ich biete dir Hilfe.
denken (de),to think,Ich denke nach.
Gefühl (de),feeling (n.),Ein gutes Gefühl.
wirken (de),to work/have effect,Das wirkt gut.
bestimmt (de),certain/definitely,Ganz bestimmt!
bereits (de),already,Bereits fertig.
Fall (de),case/fall (m.),Auf jeden Fall.
irgendwie (de),somehow,Irgendwie klappt es.
Ziel (de),goal/destination (n.),Mein großes Ziel.
schwer (de),heavy/difficult,Sehr schwer!
Gegenteil (de),opposite (n.),Im Gegenteil!
Regel (de),rule (f.),Die goldene Regel.
