ipa,description,example_word,english_translation,word_ipa
[iː] (de),"Like 'ee' in English 'see', but more tense. Lips spread.",Biene,bee,[ˈbiːnə]
[ɪ] (de),"Like 'i' in English 'sit'. A short, relaxed vowel.",Fisch,fish,[fɪʃ]
[yː] (de),Say 'ee' [iː] but with tightly rounded lips (like whistling).,Mühle,mill,[ˈmyːlə]
[ʏ] (de),Say the short 'i' [ɪ] sound but with rounded lips.,Küsse,kisses,[ˈkʏsə]
[eː] (de),Like 'ay' in English 'say' but without the 'y' sound at the end. Tense.,See,lake,[zeː]
[ɛ] (de),"Like 'e' in English 'bed'. An open, relaxed sound.",Bett,bed,[bɛt]
[ɛː] (de),A longer version of the 'e' [ɛ] in 'bed'.,Käse,cheese,[ˈkɛːzə]
[øː] (de),Say the tense 'ay' [eː] sound but with rounded lips.,Öl,oil,[øːl]
[œ] (de),Say the open 'eh' [ɛ] sound but with rounded lips.,Hölle,hell,[ˈhœlə]
[uː] (de),Like 'oo' in English 'moon'. Lips tightly rounded.,Stuhl,chair,[ʃtuːl]
[ʊ] (de),"Like 'oo' in English 'book'. A short, relaxed sound.",Hund,dog,[hʊnt]
[oː] (de),"Like 'oa' in English 'boat', but one pure sound. Lips rounded.",Boot,boat,[boːt]
[ɔ] (de),"Like 'o' in English 'hot' (British RP). An open, rounded sound.",Sonne,sun,[ˈzɔnə]
[aː] (de),"A long 'ah' sound, like at the dentist. Very open.",Aal,eel,[aːl]
[a] (de),A short 'ah' sound. Like the first part of English 'ouch!'.,Hand,hand,[hant]
[ə] (de),"The 'uh' sound (schwa), only in unstressed syllables. Like 'a' in English 'sofa'.",Bitte,please,[ˈbɪtə]
[aɪ] (de),Like 'eye' or 'i' in English 'bike'.,Eis,ice,[aɪs]
[aʊ] (de),Like 'ow' in English 'house'.,Haus,house,[haʊs]
[ɔʏ] (de),Like 'oy' in English 'boy'.,Eule,owl,[ˈɔʏlə]
[p] (de),"Like English 'p', but with less of a puff of air.",Papier,paper,[paˈpiːɐ̯]
[b] (de),"Like English 'b'. At the end of a word, it often sounds like [p].",Ball,ball,[bal]
[t] (de),"Like English 't', but with less of a puff of air.",Tisch,table,[tɪʃ]
[d] (de),"Like English 'd'. At the end of a word, it often sounds like [t].",Daumen,thumb,[ˈdaʊmən]
[k] (de),"Like English 'k', but with less of a puff of air.",König,king,[ˈkøːnɪç]
[ɡ] (de),"Like English 'g' in 'go'. At the end of a word, it often sounds like [k].",Gabel,fork,[ˈɡaːbl̩]
[f] (de),Exactly like English 'f'.,Fenster,window,[ˈfɛnstɐ]
[v] (de),The 'w' in German. Like English 'v' in 'van'.,Wein,wine,[vaɪn]
[s] (de),A hissing 's' like in English 'see'.,Straße,street,[ˈʃtraːsə]
[z] (de),A buzzing 'z' like in English 'zoo'. The sound of 's' at the start of a word.,Sand,sand,[zant]
[ʃ] (de),"The 'sh' sound in English 'shoe'. (sch, st, sp)",Schuh,shoe,[ʃuː]
[ç] (de),The 'soft ch' (Ich-laut). A hissing sound made by raising the front of the tongue. No English equivalent.,Milch,milk,[mɪlç]
[x] (de),"The 'hard ch' (Ach-laut). A rough, scraping sound from the back of the throat. Like Scottish 'loch'.",Buch,book,[buːx]
[h] (de),"A breathy puff of air, like English 'h' in 'hat'.",Hut,hat,[huːt]
[m] (de),Exactly like English 'm'.,Maus,mouse,[maʊs]
[n] (de),Exactly like English 'n'.,Nest,nest,[nɛst]
[ŋ] (de),The 'ng' sound in English 'king'.,Ring,ring,[rɪŋ]
[l] (de),The 'clear l' sound. The tongue tip is more forward than in English.,Lampe,lamp,[ˈlampə]
[r] (de),Can be a 'rolled' [r] at the front or a 'gargled' [ʁ] at the back (uvular). Both are common.,Rad,wheel,[raːt]
[pf] (de),"A 'p' and 'f' sound combined quickly. Start to say 'p', but release it into an 'f'.",Apfel,apple,[ˈapfl̩]
[ts] (de),"A 't' and 's' sound combined quickly, like the 'zz' in 'pizza' or 'ts' in 'cats'. (z)",Zug,train,[tsuːk]
[tʃ] (de),Like 'ch' in English 'church'. (tsch),Peitsche,whip,[ˈpaɪtʃə]
[dʒ] (de),Like 'j' in English 'jam'. Only in loanwords.,Dschungel,jungle,[ˈdʒʊŋəl]
[j] (de),Like 'y' in English 'yes'.,Jacke,jacket,[ˈjakə]
