ipa,description,example_word,english_translation,word_ipa
[i],"Tongue high and front, lips spread, mouth nearly closed",lit,bed,[li]
[e],"Tongue mid-high and front, lips slightly spread",café,coffee,[ka.fe]
[ɛ],"Tongue mid-low and front, mouth more open, lips spread",forêt,forest,[fɔ.ʁɛ]
[a],"Tongue low and front, mouth wide open",chat,cat,[ʃa]
[ɑ],"Tongue low and back, mouth wide open",pâte,dough,[pɑt]
[ɔ],"Tongue mid-low and back, lips rounded, mouth half open",porte,door,[pɔʁt]
[o],"Tongue mid-high and back, lips rounded, mouth less open",gâteau,cake,[ɡa.to]
[u],"Tongue high and back, lips tightly rounded",loup,wolf,[lu]
[y],"Tongue high and front (like [i]), lips rounded",lune,moon,[lyn]
[ø],"Tongue mid-high and front, lips rounded",feu,fire,[fø]
[œ],"Tongue mid-low and front, lips rounded, mouth more open",fleur,flower,[flœʁ]
[ə],"Tongue mid-central, relaxed, lips neutral (the schwa)",cheval,horse,[ʃə.val]
[ɛ̃],"Like [ɛ] but air flows through nose, mouth half open",pain,bread,[pɛ̃]
[ɑ̃],"Like [ɑ] but air flows through nose, mouth wide open",blanc,white,[blɑ̃]
[ɔ̃],"Like [ɔ] but air flows through nose, lips rounded",pont,bridge,[pɔ̃]
[œ̃],"Like [œ] but air flows through nose, lips rounded",parfum,perfume,[paʁ.fœ̃]
[p],"Close lips, build pressure, release without vocal cords",pain,bread,[pɛ̃]
[b],"Close lips, build pressure, release with vocal cords",bois,wood,[bwa]
[t],"Tongue touches ridge behind teeth, release without vocal cords",table,table,[tabl]
[d],"Tongue touches ridge behind teeth, release with vocal cords",dent,tooth,[dɑ̃]
[k],"Back of tongue touches soft palate, release without vocal cords",café,coffee,[ka.fe]
[g],"Back of tongue touches soft palate, release with vocal cords",gare,station,[ɡaʁ]
[f],"Upper teeth touch lower lip, air flows through without vocal cords",fleur,flower,[flœʁ]
[v],"Upper teeth touch lower lip, air flows through with vocal cords",verre,glass,[vɛʁ]
[s],"Tongue near ridge behind teeth, air hisses through without vocal cords",sel,salt,[sɛl]
[z],"Tongue near ridge behind teeth, air hisses through with vocal cords",zoo,zoo,[zo]
[ʃ],"Tongue pulled back, lips rounded, air flows without vocal cords",chapeau,hat,[ʃa.po]
[ʒ],"Tongue pulled back, lips rounded, air flows with vocal cords",jardin,garden,[ʒaʁ.dɛ̃]
[m],"Lips closed, air flows through nose with vocal cords",maison,house,[mɛ.zɔ̃]
[n],"Tongue touches ridge behind teeth, air flows through nose with vocal cords",nez,nose,[ne]
[ɲ],"Tongue touches hard palate, air flows through nose with vocal cords",montagne,mountain,[mɔ̃.taɲ]
[ŋ],"Back of tongue touches soft palate, air flows through nose with vocal cords",parking,parking,[paʁ.kiŋ]
[l],"Tongue tip touches ridge behind teeth, air flows around sides",lune,moon,[lyn]
[ʁ],"Back of tongue near uvula, creates friction with vocal cords",rouge,red,[ʁuʒ]
[j],"Tongue high and front near palate but not touching, with vocal cords",pied,foot,[pje]
[w],"Lips rounded, tongue high and back, glides to vowel with vocal cords",roi,king,[ʁwa]
[ɥ],"Lips rounded, tongue high and front, glides to vowel with vocal cords",huile,oil,[ɥil]
