word,translation,example_sentence
the (en-gb),the,The cat sat on the mat.
be (en-gb),to be,To be or not to be.
to (en-gb),to,I went to the shop.
of (en-gb),of,A cup of tea.
and (en-gb),and,Fish and chips.
a (en-gb),a,A big red bus.
in (en-gb),in,He is in the garden.
have (en-gb),to have,I have a dog.
I (en-gb),I,I am from London.
it (en-gb),it,It is cold today.
for (en-gb),for,This letter is for you.
not (en-gb),not,That is not my book.
on (en-gb),on,The book is on the table.
with (en-gb),with,I am with my friends.
he (en-gb),he,He is a doctor.
as (en-gb),as,As cold as ice.
you (en-gb),you,How are you?
do (en-gb),to do,What do you do?
at (en-gb),at,I am at home.
this (en-gb),this,This is my house.
but (en-gb),but,"It is sunny, but cold."
his (en-gb),his,That is his car.
by (en-gb),by,The book was written by him.
from (en-gb),from,I am from England.
they (en-gb),they,They are playing football.
we (en-gb),we,We are a family.
say (en-gb),to say,What did you say?
her (en-gb),her,That is her bag.
she (en-gb),she,She is reading a book.
or (en-gb),or,Tea or coffee?
an (en-gb),an,An apple a day.
will (en-gb),will (future),I will see you tomorrow.
my (en-gb),my,This is my phone.
one (en-gb),one,I have one brother.
all (en-gb),all,All the cakes are gone.
would (en-gb),would,Would you like some tea?
there (en-gb),there,There is a cat on the roof.
their (en-gb),their,That is their house.
what (en-gb),what,What is your name?
so (en-gb),so,"It was raining, so I took an umbrella."
up (en-gb),up,Look up at the sky.
out (en-gb),out,He went out.
if (en-gb),if,"If it rains, we will stay home."
about (en-gb),about,What is the book about?
who (en-gb),who,Who is that?
get (en-gb),to get,I need to get some milk.
which (en-gb),which,Which one do you want?
go (en-gb),to go,I want to go home.
me (en-gb),me,Can you help me?
when (en-gb),when,When is your birthday?
